"Host","Opponent","Date","Tm","Opp","Tm_odd","Opp_odd","Year"
"MIA","LAL","Mar 10, 2011","94","88","1.97","1.86","2011"
"SAC","ORL","Mar 10, 2011","102","106","5.42","1.16","2011"
"SAS","DET","Mar 10, 2011","111","104","1.11","7.28","2011"
"MEM","NYK","Mar 10, 2011","108","110","1.56","2.49","2011"
"MIL","CLE","Mar 10, 2011","110","90","1.18","5.15","2011"
"MIN","IND","Mar 10, 2011","101","75","1.85","1.96","2011"
"NOP","DAL","Mar 10, 2011","93","92","2.88","1.44","2011"
"BRK","LAC","Mar 11, 2011","102","98","2.17","1.72","2011"
"CHO","POR","Mar 11, 2011","97","92","2.64","1.51","2011"
"PHI","BOS","Mar 11, 2011","89","86","1.97","1.85","2011"
"TOR","IND","Mar 11, 2011","108","98","1.94","1.88","2011"
"PHO","DEN","Mar 11, 2011","97","116","1.55","2.53","2011"
"DAL","NYK","Mar 11, 2011","127","109","1.47","2.77","2011"
"ATL","POR","Mar 12, 2011","91","82","1.95","1.88","2011"
"WAS","LAC","Mar 12, 2011","101","122","2.14","1.74","2011"
"MIA","MEM","Mar 12, 2011","118","85","1.25","4.14","2011"
"GSW","ORL","Mar 12, 2011","123","120","2.76","1.47","2011"
"SAS","SAC","Mar 12, 2011","108","103","1.10","7.78","2011"
"CHI","ATL","Mar 12, 2011","94","76","1.27","3.87","2011"
"MIN","UTA","Mar 12, 2011","122","101","1.78","2.07","2011"
"OKC","DET","Mar 12, 2011","104","94","1.20","4.86","2011"
"BOS","MIL","Mar 13, 2011","87","56","1.22","4.49","2011"
"NYK","IND","Mar 13, 2011","93","106","1.19","5.00","2011"
"PHO","ORL","Mar 13, 2011","88","111","3.17","1.39","2011"
"CLE","OKC","Mar 13, 2011","75","95","5.60","1.15","2011"
"TOR","CHO","Mar 13, 2011","90","95","1.73","2.16","2011"
"DAL","LAL","Mar 13, 2011","91","96","1.96","1.87","2011"
"DEN","DET","Mar 13, 2011","131","101","1.18","5.19","2011"
"HOU","SAS","Mar 13, 2011","107","115","1.87","1.95","2011"
"CHI","UTA","Mar 13, 2011","118","100","1.12","6.52","2011"
"MIL","PHI","Mar 13, 2011","102","74","1.72","2.17","2011"
"NOP","SAC","Mar 13, 2011","115","103","1.17","5.29","2011"
"HOU","PHO","Mar 14, 2011","95","93","1.22","4.53","2011"
"MEM","LAC","Mar 14, 2011","105","82","1.41","3.03","2011"
"MIA","SAS","Mar 14, 2011","110","80","1.45","2.82","2011"
"NOP","DEN","Mar 14, 2011","103","114","1.71","2.20","2011"
"BRK","BOS","Mar 14, 2011","88","79","2.89","1.44","2011"
